Pinyin,Wade-Giles,Romatzyh
ыоуыу,ыуыу,ыоуыух
ыоуыонгчи,ыуыунгчих,ыоуыеонгчыр
ыоуыи,ыуи,ыеоуыих
ыоуду,ыуту,ыеоудwу
ыоухаи,ыухаи,ыеоухаы
ыоули,ыули,ыеоулих
ыоулиыу,ыулиыу,ыеоулихыу
ыоуже,ыуже,ыеоуже
ыумаоqиу,ыумаочиу,ыеумаучыоу
ыуронгфу,ыуюнгфу,ыеуронгфwу
ыушуи,ыушуи,ыеушоеи
ыубеи,ыупеи,ыухбеы
ыуqи,ыучи,ыухчи
ыуанлин,ыуанлин,ыуанлин
ыуанли,ыуанли,ыуанлии
ыуанши,ыуанших,ыуаншыы
ыуанxиан,ыуанхсиен,ыуаншиан
ыуаныоу,ыуаныу,ыуаныеоу
ыуанчу,ыуанчу,ыеуанчух
ыуан,ыуан,ыуанн
ыуан,ыуан,ыуанн
ыуешу,ыуехшу,иуешух
ыуебинг,ыуехпинг,ыуехбиинг
ыуеqиу,ыуехчиу,ыуехчыоу
ыуеланши,ыуехланших,ыуехлааншых
ыун,ыун,ыунн
ыунxинг,ыунхсинг,ыунншынг
заи,цаи,тзаи
заихаи,цаихаи,тзаихаы
заинан,цаинан,тзаинанн
заиqу,цаичу,тзаичиу
заици,цаитзу,тзаыцых
заиые,цаиыех,тзаыыее
заичанг,цаичанг,тзаычаанг
заинеи,цаинеи,тзаынеы
занши,цанших,тзанншыр
зантинг,цантинг,тзаннтынг
зао,цао,тзау
заогао,цаокао,тзаугау
заоqи,цаочи,тзаочи
зенг,ценг,тзенг
зенгчан,ценгчан,тзенгчаан
зенгда,ценгта,тзенгдах
зенгдуо,ценгто,тзенгдуо
зенгqианг,ценгчианг,тзенгчыанг
зенг,ценг,тзенq
зенгсонг,ценгсунг,тзенqсонq
жаи,чаи,яи
жанлан,чанлан,яанлаан
жанши,чанших,яаншых
жанxиан,чанхсиен,яаншианн
жанлинг,чанлинг,яннлиинг
жаныоу,чаныу,янныеоу
жанг,чанг,яанг
жангйиа,чангчиа,яангйиах
жангwо,чангwо,яангwох
жаошенг,чаошенг,яушенг
жаошоу,чаошоу,яушооу
женгуи,ченкуеи,йенгуеы
женxи,ченхси,йенши
женжу,ченчу,йеню
женченг,ченченг,йенчернг
женли,ченли,йенлии
женxианг,ченхсианг,йеншианq
жендуан,чентуан,йеендуанн
жендонг,чентунг,йенндонq
женйинг,ченчинг,йеннйинг
женгыи,ченги,йенгыих
женгбан,ченгпан,йенqбаан
женггуи,ченгкуеи,йенqгуеи
женгру,ченгю,йенqру
женгыи,ченги,йенqыих
женгши,ченгших,йенqшыр
женгшу,ченгшу,йенqшу
женг,ченг,йенq
женгqиан,ченгчиен,йенqчыан
жинеи,чихнеи,йынеы
жиwаи,чихwаи,йыwаы
жиxиа,чиххсиа,йышиах
жижонг,чихчунг,йыйонг
жичу,чихчу,йычу
жипеи,чихпеи,йыпеы
жиxинг,чиххсинг,йыршынг
жиxиан,чиххсиен,йыршианн
жибан,чихпан,йырбан
жиненг,чихненг,йырненг
жиwеи,чихwеи,йырwеы
жиwу,чихwу,йырwух
жийиан,чихчиен,йыыйианн
жибиао,чихпиао,йыыбиау
жийиа,чихйиа,йыыйиа
жиши,чихших,йыышых
жизе,чихце,йыытзер
жи,чих,йых
жиченг,чихченг,йыхчернг
жиыуе,чихыуех,йыхиуе
жи’ан,чихан,йыхан
жили,чихли,йыхлии
жонгдуан,чунгтуан,йонгдуанн
жонгqиуйие,чунгчиучиех,йонгчиоуйые
жонгыанг,чунгыанг,йонгианг
жонгыао,чунгыао,йонгыаw
жонгдиан,чунгтиен,йонгдеан
жонгшен,чунгшен,йонгшен
жонгжи,чунгчих,йонгйыы
жонгду,чунгту,йонqдwу
жонгдуо,чунгто,йонqдуо
жоуqи,чоучи,йоучи
жузи,чузи,йwузи
жубан,чупан,юубанн
жудао,чутао,юудао
жугуан,чукуан,юугуан
жугуан,чукуан,юугоан
жути,чути,юутии
жули,чули,юхлии
жушоу,чушоу,юхшооу
жуце,чуце,юхцех
жуше,чуше,юхшех
жуши,чуших,юхшых
жужонг,чучунг,юхйонq
жухе,чухо,юххех
жуанйи,чуанчи,юанйыи
жуанли,чуанли,юанлих
жуанхуа,чуанхуа,йоанхуах
жуанхуан,чуанхуан,йоанхуанн
жуанранг,чуанянг,йоанранq
жуанxианг,чуанхсианг,йоаншианq
жуангши,чуангших,юангшых
жуанг,чуанг,юанq
зибен,тзупен,тзыбеен
зичан,тзучан,тзычаан
зижу,тзучу,тзыюх
зидан,тзутан,тзыыданн
зиxи,тзухси,тзыыших
зи,тзу,тзыы
зихао,тзухао,тзыххаур
зиша,тзуша,тзыхша
зиыуан,тзуыуан,тзыхыуанн
зонгцаи,цунгцаи,тзоонгцаир
зонгшу,цунгшу,тзоонгшух
зонгсуан,цунгсуан,тзоонгсуанн
зонгти,цунгти,тзоонгтии
зу’аи,цуаи,тзууаы
зужи,цучих,тзууйы
зуи,цуи,тзуеы
зунйинг,цунчинг,тзуенйинq
зунжонг,цунчунг,тзуенйонq
аиже,аиже,аиже
аи,аи,аир
аида,аита,аирдаа
анйиан,анчиен,анйеан
багонг,пакунг,бахгонг
бале,пале,бахле
баилинг,паилинг,баирлиинг
баифендиан,паифентиен,баефендеан
бангонг,панкунг,баннгонг
баншичу,паншихчу,банншыхчух
банxуе,панхсуех,банншыуе
банюесаи,панчуехсаи,баннйыуесаы
бангwан,пангwан,банqwоан
баойиан,паочиен,баойианн
баокан,паокан,баwкан
баокао,паокао,баwкао
баоqиан,паочиен,баwчианн
баофенгыу,паофенгыу,баwфенгыеу
баоли,паоли,баwлих
баолу,паолу,баwлух
баоыу,паоыу,баwыеу
бао,пао,баw
баофа,паофа,баwфа
баожа,паоча,баwях
беицан,пеицан,беицаан
беиxин,пеихсин,беышин
беигао,пеикао,беыгаw
бенпао,пенпао,бенпао
бен,пен,беен
бенди,пенти,беендих
бенqи,пенчи,беенчи
беншен,пеншен,бееншен
бенту,пенту,беентуу
бенжи,пенчих,беенйых
би,пи,би
биши,пиших,биишых
бийианг,пичианг,бихйианг
биxиу,пихсиу,бихшиоу
би,пи,бих
бианыуан,пиеныуан,бианыуан
бианжи,пиенчих,бианйых
биангенг,пиенкенг,бианнгенг
бианхуан,пиенхуан,бианнхуанн
бианxинг,пиенхсинг,бианншынг
биан,пиен,бианн
бианши,пиенших,бианншых
бианди,пиенти,бианндих
бингфанг,пингфанг,бинqфарнг
бингqинг,пингчинг,бинqчынг
бода,пота,бодаа
бодонг,потунг,бодонq
боланг,поланг,боланq
бо,по,бо
букао,пукао,буукао
буке,пуко,буукех
буxи,пухси,буушыи
бужу,пучу,бууюх
бу,пу,буу
бученг,пученг,бухчернг
буйин,пучин,бухйин
буйинйин,пучинчин,бухйиинйиин
бутонг,путунг,бухтонг
бузенме,пуценме,бухтзеенме
бузенмеыанг,пуценмеыанг,бухтзеенмеыанq
бужи,пучих,бухйыр
буман,пуман,бухмаан
будуи,путуи,бухдуеы
цаина,цаина,цаенах
цаи,цаи,цае
цансаи,цансаи,цансаы
цанжан,цанчан,цаняан
цан,цан,цан
цанйи,цанчи,царнйыи
цанйирен,цанчийен,царнйыирен
цанку,цанку,царнкух
цан,цан,цаан
цангку,цангку,цангкух
цаозонг,цаоцунг,цаутзонq
цесуо,цесо,цехсуоо
це,це,цех
цединг,цетинг,цехдинq
цехуа,цехуа,цеххуах
ценгмиан,ценгмиен,цернгмианн
чаыи,чаи,чаыих
чачу,чачу,чарчу
чакан,чакан,чарканн
чаиqиан,чаичиен,чаичиан
чанлианг,чанлианг,чаанлианq
чангшенг,чангшенг,чангшенq
чангдуан,чангтуан,чарнгдоан
чангйиа,чангчиа,чарнгйиах
чангйиу,чангчиу,чарнгйеоу
чангпао,чангпао,чарнгпао
чангыуан,чангыуан,чарнгыеуан
чанггуи,чангкуеи,чарнггуеи
чангниан,чангниен,чарнгниан
чангшанг,чангшанг,чаангшанг
чангди,чангти,чаангдих
чанггуан,чангкуан,чаанггоан
чангйинг,чангчинг,чаангйиинг
чангтонг,чангтунг,чанqтонг
чао,чао,чау
чаочу,чаочу,чаучу
чао,чао,чао
чаогу,чаоку,чаогуу
чаозуо,чаоцо,чаотзуох
чехао,чехао,чехаw
чепаи,чепаи,чепаир
чежан,чечан,чеяан
чели,чели,чехли
чеxиао,чехсиао,чехшиау
ченг,ченг,ченг
ченг,ченг,чернг
ченгфен,ченгфен,чернгфенн
ченгпин,ченгпин,чернгпиин
ченгнуо,ченгно,чернгнуох
ченгqу,ченгчу,чернгчиу
ченгxианг,ченгхсианг,чернгшианг
ченгжен,ченгчен,чернгйенн
чиыоу,чихыу,чырыеоу
чонгйи,чунгчи,чонгйи
чонгйиан,чунгчиен,чорнгйианн
чонгзу,чунгцу,чорнгтзуу
чонгбаи,чунгпаи,чорнгбаы
чонгwу,чунгwу,чоонгwух
чонг,чунг,чонг
чучанг,чучанг,чучаанг
чудонг,чутунг,чудонq
чуфанг,чуфанг,чуфаанг
чулу,чулу,чулух
чумиан,чумиен,чумианн
чуминг,чуминг,чуминг
чуру,чую,чурух
чуши,чуших,чушых
чутаи,чутаи,чутаир
чуxинг,чухсинг,чушынг
чуденг,чутенг,чудеенг
чу,чу,чwу
чуши,чуших,чwушы
чуцун,чуцун,чууцwен
чучу,чучу,чухчух
чужанг,чучанг,чухяанг
чуанчу,чуанчу,чwанчу
чуанмеи,чуанмеи,чwанмеи
чуаншу,чуаншу,чwаншу
чуаныан,чуаныан,чwаныан
чуаныуан,чуаныуан,чwаныуан
чуанжанг,чуанчанг,чwаняанг
чуанжи,чуанчих,чwанйы
чуан,чуан,чуанн
чуангкоу,чуангкоу,чуангкооу
чуангбан,чуангпан,чуанqбанн
чуангйиан,чуангчиен,чуанqйианн
чуангыи,чуанги,чуанqыих
цичу,тзучу,цыычух
цици,тзутзу,цыыцых
циqиан,тзучиен,цыычыан
циши,тзуших,цыышых
цижи,тзучих,цыыйых
цишу,тзушу,цыхшух
цонгбу,цунгпу,цорнгбух
цонгмеи,цунгмеи,цорнгмеи
цу,цу,цух
цунжуанг,цунчуанг,цуенюанг
цуогуо,цокуо,цуохгуох
да,та,да
даданг,татанг,даданq
дапеи,тапеи,дапеы
дадонг,татунг,даадонq
дадуан,татуан,даадуанн
дафа,тафа,даафа
дагуанси,такуанси,даагуанси
дапаи,тапаи,даапаир
даыинйи,таыинчи,дааыиннйи
дазао,тацао,даатзаw
дадао,татао,дахдаw
дайие,тачиех,дахйие
дали,тали,дахлих
дами,тами,дахмии
дапи,тапи,дахпи
дасаи,тасаи,дахсаы
даши,таших,дахшы
даши,таших,дахшыы
даихуир,таихуир,даихуеыр
даныоу,таныу,даниоу
данда,танта,дандаа
даншенг,таншенг,данншенг
данг,танг,даанг
данг,танг,данг
дангтиан,тангтиен,дангтиан
дангзуо,тангцо,данqтзуох
данг’ан,танган,данqанн
дао,тао,дао
даоqи,таочи,даwчи
даобан,таопан,даwбаан
даойиао,таочиао,даwйиаw
даоqиан,таочиен,даwчианн
дитоу,титоу,дитоур
диwен,тиwен,диуен
ди,ти,ди
дида,тита,диидар
диканг,тиканг,дииканq
дибан,типан,дихбаан
диминг,тиминг,дихминг
диxиаши,тихсиаших,дихшиахшых
дианче,тиенче,дианнче
диандонг,тиентунг,дианндонq
дианли,тиенли,дианнлих
дианqи,тиенчи,дианнчих
диао,тиао,диаw
диаоыан,тиаоыан,диаwыан
дие,тиех,дие
дингйиа,тингчиа,динqйиах
дингши,тингших,динqшыр
дингwеи,тингwеи,динqwеы
донгхуа,тунгхуа,донqхуах
доуженг,тоученг,доwйенг
души,туших,душых
дупин,тупин,дwупиин
ду,ту,дуу
дубо,тупо,дуубор
ду,ту,дух
дуан,туан,дуан
дуанпиан,туанпиен,доанпианн
дуиканг,туиканг,дуеыканq
дуиwаи,туиwаи,дуеыwаы
дун,тун,дуен
дуобан,топан,дуобанн
дуофангмиан,тофангмиен,дуофангмианн
дуомеити,томеити,дуомеитии
дуо,то,дwо
дуоqу,точу,дwочеу
енрен,енйен,енрен
ерке,ерхко,ерлке
фабинг,фапинг,фабинq
фадиан,фатиен,фадианн
фафанг,фафанг,фафанq
фану,фану,фанух
фаqи,фачи,фачии
фаыанрен,фаыанйен,фаыанрен
фаыан,фаыан,фаыан
фатинг,фатинг,фаатынг
фаыу,фаыу,фааыеу
фан,фан,фан
фанqие,фанчиех,фанчые
фанши,фанших,фарншых
фанжи,фанчих,фарнйыр
фанканг,фанканг,фаанканq
фанwен,фанwен,фаанwенн
фанxианг,фанхсианг,фааншеанг
фан,фан,фанн
фангуи,фанкуеи,фаннгуеи
фанзуи,фанцуи,фаннтзуеы
фангфан,фангфан,фарнгфанн
фангшоу,фангшоу,фарнгшооу
фангйиа,фангчиа,фарнгйиах
фангфу,фангфу,фаангфwу
феичуан,феичуан,феичwан
феиxингыуан,феихсингыуан,феишынгыуан
феи,феи,феы
фенгонг,фенкунг,фенгонг
фенлие,фенлиех,фенлиех
фенну,фенну,фенннух
фенгбао,фенгпао,фенгбаw
фенгхуи,фенгхуи,фенгхуеы
фенгxиан,фенгхсиен,фенqшианн
фо,фо,фор
фойиао,фочиао,форйиаw
фу,фу,фwу
фу,фу,фwу
фузи,футзу,фухтзыы
фу,фу,фух
фусу,фусу,фухсу
фу,фу,фух
фу,фу,фух
фурен,фуйен,фухрен
фуыоу,фуыу,фухыеоу
гаижуанг,каичуанг,гаеюанг
ганше,канше,ганшех
ган,кан,ган
ган,кан,ган
ганманг,канманг,гаанманг
ганшанг,каншанг,гааншанq
ганыу,каныу,гааныу
ганрен,канйен,гаанрен
гангхао,кангхао,гангхао
гангwеи,кангwеи,гаангwеы
гангкоу,кангкоу,гаангкооу
гаоценг,каоценг,гауцернг
гаоданг,каотанг,гауданq
гаоденг,каотенг,гаудеенг
гаофенг,каофенг,гауфенг
гаокао,каокао,гаукао
гаокейи,каокочи,гаукейих
гаошоу,каошоу,гаушооу
гаози,каози,гаози
гечанг,кочанг,гечанq
геци,котзу,гецыр
геxинг,кохсинг,гешинг
геxин,кохсин,гершин
генгши,кенгших,генqшых
гонгшанг,кунгшанг,гонгшанг
гонг,кунг,гонг
гонган,кунган,гонган
гонгйи,кунгчи,гонгйи
гонгжонг,кунгчунг,гонгйонq
гонгжу,кунгчу,гонгюу
гонгйи,кунгчи,гонгйи
гонгйи,кунгчи,гонгйии
гонг,кунг,гонг
гонггу,кунгку,гоонггух
гонгxиан,кунгхсиен,гонqшианн
гоуйиан,коучиен,гоwйианн
гуду,куту,гудwу
гуер,куерх,гуерл
гугу,кугу,гугу
гудиан,кутиен,гуудеан
гу,ку,гуу
гудонг,кутунг,гуудонг
гупиао,купиао,гуупиаw
гужанг,кучанг,гухянq
гу,ку,гух
гуа,куа,гуа
гуаи,куаи,гоаи
гуанаи,куанаи,гуанаы
гуанлиан,куанлиен,гуанлиан
гуангуанг,куанкуанг,гуангуанг
гуанси,куанси,гуанси
гуандао,куантао,гоандаw
гуангхуи,куангхуи,гуангхуеи
гуангкуо,куангкуо,гоангкуох
гуидао,куеитао,гоеидаw
гуи,куеи,гуеы
гуочан,куочан,гwочаан
гуоге,куоко,гwоге
гуохуи,куохуи,гwохуеы
гуоqи,куочи,гwочыи
гуоwанг,куоwанг,гwоwанг
гуойианг,куочианг,гуоойианq
гуошу,куошу,гуоошух
гуоду,куоту,гуохдух
гуохоу,куохоу,гуоххоw
гуоши,куоших,гуохшыр
хаибао,хаипао,хаебаw
хаиди,хаити,хаедии
хаиюн,хаичун,хаейиун
хаиланг,хаиланг,хаеланq
хаиwаи,хаиwаи,хаеwаы
хаиwан,хаиwан,хаеуан
хаиыанг,хаиыанг,хаеыанг
хаоронгыи,хаоюнги,хаоронгыих
хаоси,хаоссу,хаосых
хаожуан,хаочуан,хаойоан
хеыуе,хоыуех,хериуе
хеxие,хохсиех,хершые
хеxин,хохсин,хершин
хеиые,хеиыех,хеиыех
хеннаншуо,хеннаншуо,хееннаншуо
хен,хен,хеен
хенг,хенг,хернг
хенглианг,хенглианг,хернглианг
хонгда,хунгта,хорнгдах
хонгшуи,хунгшуи,хорнгшоеи
ху,ху,хwу
худонг,хутунг,хухдонq
хуwаи,хуwаи,хухwаы
ху,ху,хух
хуафеи,хуафеи,хуафеы
хуапинг,хуапинг,хуапынг
хуашенг,хуашенг,хуашенг
хуайие,хуачиех,хуахйиее
хуанxианг,хуанхсианг,хуанншеанг
хуанже,хуанче,хуаннйее
хуангди,хуангти,хwангдих
хуиыинг,хуиыинг,хwеиыинq
хуи,хуи,хоеи
хуийиан,хуичиен,хуеыйианн
хуижанг,хуичанг,хуеыяанг
хуихуа,хуихуа,хуеыхуах
хун,хун,хуен
хунхе,хунхо,хуеннхер
хунлуан,хунлуан,хуеннлуанн
хуоыуе,хуоыуех,хwоыуех
хуойиан,хуочиен,хуоойианн
йидонгче,читунгче,йидонqче
йигуан,чикуан,йигуан
йиxие,чихсиех,йишиех
йидуйиао,читучиао,йидуйиаw
йиqинг,чичинг,йичынг
йили,чили,йыилих
йиxианг,чихсианг,йыишыанг
йидуан,читуан,йыидуан
йийиу,чичиу,йыийиоw
йибинг,чипинг,йыибинq
йи,чи,йыи
йиыу,чиыу,йииыеу
йиаменг,чиаменг,йиаменг
йиадиан,чиатиен,йиадианн
йиаыуан,чиаыуан,йиаыуан
йиабин,чиапин,йиабин
йиари,чиайих,йиахрых
йиан,чиен,йиан
йианце,чиенце,йианцех
йианду,чиенту,йианду
йиан,чиен,йеан
йианйие,чиенчиех,йеанйиех
йиан,чиен,йианн
йиандинг,чиентинг,йианндинq
йиан,чиен,йианн
йиангюн,чиангчун,йиангйиун
йиангке,чиангко,йеангкех
йианг,чианг,йианq
йиангыоу,чиангыу,йианqыоу
йиао’ао,чиаоао,йиауаw
йиаодиан,чиаотиен,йиаудеан
йиаоыин,чиаоыин,йеауыинн
йиао,чиао,йиаw
йиаотанг,чиаотанг,йиаwтарнг
йиаоыубу,чиаоыупу,йиаwыухбух
йиешоу,чиехшоу,йиешоу
йие,чиех,йие
йиетоу,чиехтоу,йиетоур
йие,чиех,йые
йиейиари,чиехчиайих,йыейиахрых
йиененг,чиехненг,йыененг
йиезоу,чиехцоу,йыетзоw
йиечу,чиехчу,йыечу
йиежи,чиехчих,йыейыы
йиежи,чиехчих,йыейых
йиешуо,чиехшуо,йиеешуо
йие,чиех,йиех
йие,чиех,йиех
йиейиан,чиехчиен,йиехйианн
йине,чине,йинер
йинqиан,чинчиен,йинчыан
йинронг,чинюнг,йинронг
йин,чин,йинн
йингонг,чинкунг,йиннгонг
йинри,чинйих,йиннрых
йинши,чинших,йинншых
йингрен,чингйен,йингрен
йингxи,чингхси,йингшии
йинг,чинг,йинг
йингмеи,чингмеи,йингмееи
йингпин,чингпин,йингпиин
йинг,чинг,йиинг
йинг,чинг,йиинг
йингдиан,чингтиен,йиингдеан
йинг,чинг,йинq
йиуфен,чиуфен,йиоуфен
йиуженг,чиученг,йиоуйенq
йиушуи,чиушуи,йеоушоеи
йиуминг,чиуминг,йиоwминq
йиуыуан,чиуыуан,йиоwыуан
йиужу,чиучу,йиоwюх
йиушишуо,чиушихшуо,йиоwшыхшуо
йиусуан,чиусуан,йиоwсуанн
ю,чу,йыу
ю,чу,йиух
ю,чу,йиух
юан,чуан,йиуан
юанкуан,чуанкуан,йиуанкоан
юанзенг,чуанценг,йиуантзенq
юанжу,чуанчу,йиуанюх
юеце,чуехце,йыуецех
юеwу,чуехwу,йыуеwух
юе,чуех,йыуе
юедадуошу,чуехтатошу,йыуедахдуошух
юндуи,чунтуи,йиундуеы
юнйиан,чунчиен,йиунйианн
юнши,чунших,йиуншых
каичуанг,каичуанг,каичуанq
каигуан,каикуан,каигуан
каише,каише,каишех
каитонг,каитунг,каитонг
каитоу,каитоу,каитоур
каиыече,каиыехче,каиыехче
кан,кан,кан
кангуан,канкуан,кангоан
кандеqи,кандечи,канндечии
канзуо,канцо,каннтзуох
кангфу,кангфу,кангфух
кангыи,канги,канqыих
каочанг,каочанг,каочаанг
каоти,каоти,каотыи
кеыан,коыан,кеыан
кече,коче,кехче
кен,кен,кеен
конгюн,кунгчун,конгйиун
коуши,коуших,кооушых
коу,коу,коw
ку,ку,кух
куа,куа,куах
куаиче,куаиче,куаыче
куанкуо,куанкуо,куанкуох
куанг,куанг,куанq
куо,куо,куох
лаиwанг,лаиwанг,лаиwоанг
лаи,лаи,лаы
ланму,ланму,ланмух
ланлинг,ланлинг,ланлиинг
лантиан,лантиен,лантиан
лан,лан,лаан
лао,лао,лау
лаоxианг,лаохсианг,лаошианг
ленгqи,ленгчи,леенгчих
ленгшуи,ленгшуи,леенгшоеи
литанг,литанг,лиитарнг
ли,ли,лии
лицаи,лицаи,лиицаир
лижи,личих,лиийых
ли,ли,лих
ли,ли,лих
лианменг,лиенменг,лианменг
лиансаи,лиенсаи,лиансаы
лианшоу,лиеншоу,лианшооу
лиангxие,лиангхсиех,лиангшые
лиангце,лиангце,леангцех
лиангшоу,лиангшоу,леангшооу
лиао,лиао,лиау
лиаотианр,лиаотиенр,лиаутианр
лиао,лиао,лиаw
лиао,лиао,лиаw
лие,лиех,лиех
лингхуо,лингхуо,лингхwо
лингqу,лингчу,лиингчеу
лингxиу,лингхсиу,лиингшиоw
линг,линг,линq
лиуыан,лиуыан,лиоуыан
лиуган,лиукан,лиоугаан
лоудао,лоутао,лоудаw
лоуфанг,лоуфанг,лоуфарнг
лоу,лоу,лоw
луюн,лучун,лухйиун
луxианг,лухсианг,лухшианq
луыинйи,луыинчи,лухинйи
лугуо,лукуо,лухгуох
лу,лу,лух
маче,маче,мааче
маи,маи,маи
мантоу,мантоу,мантоу
манче,манче,маннче
мангрен,мангйен,мангрен
меихуа,меихуа,меихуа
меиронг,меиюнг,мееиронг
менг,менг,менг
менг,менг,меенг
миан,миен,миан
миандуимиан,миентуимиен,мианндуеымианн
мианxианг,миенхсианг,мианншианq
миао,миао,миаw
мие,миех,миех
минге,минко,минге
мингонг,минкунг,мингонг
минйинг,минчинг,минйиинг
миныи,мини,миныих
минжу,минчу,минюу
минг’е,минге,мингер
мингшенг,мингшенг,мингшенq
мингыи,минги,мингыих
мингыу,мингыу,мингыух
мингри,мингйих,мингрых
минг,минг,минq
мо,мо,мо
мо,мо,мо
мошоу,мошоу,мохшоу
мошуи,мошуи,мохшоеи
му,му,муу
муйи,мучи,мууйи
музи,мутзу,муутзыы
му,му,мух
назоу,нацоу,натзооу
наифен,наифен,наефеен
наиниу,наиниу,наениоу
нанwанг,нанwанг,нанwанq
неиди,неити,неыдих
неиwаи,неиwаи,неыwаы
неиыи,неии,неыи
ненгфоу,ненгфоу,ненгфооу
ни,ни,ни
ниу,ниу,неоу
паихангбанг,паихангпанг,паирхарнгбаанг
паичу,паичу,паычу
пан,пан,панн
панwанг,панwанг,паннwанq
пеитонг,пеитунг,пеирторнг
пеижи,пеичих,пеыйых
пиqиу,пичиу,пыичыоу
пиан,пиен,пиан
пинкун,пинкун,пынкуенн
пинпаи,пинпаи,пиинпаир
пинqинг,пинчинг,пиннчиинг
пингфан,пингфан,пынгфарн
пингфангми,пингфангми,пынгфангмии
пингхенг,пингхенг,пынгхернг
пингтаи,пингтаи,пынгтаир
пинг,пинг,пынг
пингxуан,пингхсуан,пынгшеуан
пингму,пингму,пынгмух
по,по,по
пу,пу,пу
пу,пу,пу
qифу,чифу,чифу
qимиао,чимиао,чыимиаw
qиту,читу,чиитwу
qидиан,читиен,чиидеан
qису,чису,чиисух
qифен,чифен,чихфен
qиаданг,чиатанг,чиахданq
qиахао,чиахао,чиаххао
qиаqиа,чиачиа,чиахчиах
qиан,чиен,чиан
qианби,чиенпи,чианбии
qианxу,чиенхсу,чианшиу
qианфанг,чиенфанг,чыанфанг
qианлаи,чиенлаи,чыанлаи
qианли,чиенли,чыанлих
qиангдао,чиангтао,чыангдаw
qиангхуа,чиангхуа,чыангхуах
qиангши,чиангших,чыангшых
qиангжуанг,чиангчуанг,чыангюанq
qиаолианг,чиаолианг,чыаулианг
qиаомиао,чиаомиао,чеаумиаw
qиези,чиехзи,чыези
qиеши,чиехших,чиехшыр
qинфан,чинфан,чинфанн
qиншу,чиншу,чиншуу
qиныан,чиныан,чиныеан
qингxианг,чингхсианг,чингшианq
qинг,чинг,чинг
qингйие,чингчиех,чингйые
qингйиегонг,чингчиехкунг,чингйыегонг
qингмингйие,чингмингчиех,чингмингйые
qингxи,чингхси,чингшии
qингxу,чингхсу,чынгшиух
qиужи,чиучих,чыоуйыр
qиупаи,чиупаи,чыоупаи
qиуxинг,чиухсинг,чыоушинг
qиуыуан,чиуыуан,чыоуыуан
qуфен,чуфен,чиуфен
qудао,чутао,чыудаw
qукуан,чукуан,чеукоан
qукуанйи,чукуанчи,чеукоанйи
qудиао,чутиао,чиухдиаw
qуан,чуан,чыуан
qуанли,чуанли,чыуанлих
qуанли,чуанли,чыуанлих
qуанxин,чуанхсин,чыуаншин
qуан,чуан,чиуанн
qуеxиан,чуеххсиен,чиуешианн
qуеши,чуехших,чиуехшых
рангзуо,янгцо,ранqтзуох
редиан,йетиен,рехдеан
решуи,йешуи,рехшоеи
решуиqи,йешуичи,рехшоеичих
реxиан,йехсиен,рехшианн
ренqуан,йенчуан,ренчыуан
рентонг,йентунг,реннторнг
риые,йихыех,рыхыех
риыу,йихыу,рыхыеу
ронгхе,юнгхо,ронгхер
ронгру,юнгю,ронгрух
ру,ю,ру
руыи,юи,руи
ружипин,ючихпин,рууйыхпиин
ру,ю,рух
руxуе,юхсуех,рухшыуе
руо,йо,руох
саи,саи,саи
саи,саи,саы
саичанг,саичанг,саычаанг
санмингжи,санмингчих,санмингйых
сангши,сангших,санqшы
шанфенг,шанфенг,шанфенг
шангу,шанку,шангуу
шанпо,шанпо,шанпо
шангкоу,шангкоу,шангкооу
шангwанг,шангwанг,шангwанг
шангыуан,шангыуан,шангыуан
шангченг,шангченг,шангчернг
шангданг,шангтанг,шанqданq
шангди,шангти,шанqдих
шангши,шангших,шанqшых
шангтаи,шангтаи,шанqтаир
шангыан,шангыан,шанqыеан
шао,шао,шаур
шаоер,шаоерх,шаwерл
шетоу,шетоу,шертоу
шейиши,шечиших,шехйихшы
шейи,шечи,шехйыи
шенхуа,шенхуа,шенхуах
шеншен,шеншен,шеншен
шенча,шенча,шеенчар
шенгйи,шенгчи,шенгйыи
шенгxуе,шенгхсуех,шенгшыуе
шенгжи,шенгчих,шенгйыр
шенгхуофеи,шенгхуофеи,шенгхwофеы
шенгqиан,шенгчиен,шеенгчыан
шенгданйие,шенгтанчиех,шенqданнйые
шенгxинг,шенгхсинг,шенqшынг
шифу,шихфу,шыфу
шишенг,шихшенг,шышенг
ши’ер,шихерх,шырерл
шийие,шихчиех,шырйые
шиqи,шихчи,шырчи
шиши,шихших,шыршыр
шижуанг,шихчуанг,шырюанг
ши,ших,шыр
шизи,шихтзу,шыртзых
шийиан,шихчиен,шырйианн
шиыу,шихыу,шырыух
шимин,шихмин,шыхмин
шихоу,шиххоу,шыххоw
шидиан,шихтиен,шыхдеан
шиданг,шихтанг,шыхданq
шоуцанг,шоуцанг,шоуцарнг
шоуqу,шоучу,шоучеу
шоуыанг,шоуыанг,шоуыеанг
шоуxуфеи,шоухсуфеи,шооушиухфеы
шоу,шоу,шооу
шоуци,шоутзу,шооуцых
шоунао,шоунао,шооунао
шоуxи,шоухси,шооушыи
шоуxианг,шоухсианг,шооушианq
шуфанг,шуфанг,шуфарнг
шупиан,шупиен,шуупианн
шутиао,шутиао,шуутыау
шуангда,шуангта,шуангдаа
шуанг,шуанг,шоанг
шуини,шуини,шоеини
шуи,шуи,шуеы
шун,шун,шуенн
